Name,Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Jupiter Tisserand Invariant,Epoch Osculation,Semi Major Axis,Asc Node Longitude,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,approach_year,approach_month,approach_day,Orbital Period,Orbit Uncertainity,Hazardous
3747992,797929200000,,40318.2038,,0.2328691339,90.58609009,34836728,21646538,,2458000.5,0.8693364319,150.0050897,204.9786871,1.023604203,2457906.714,114.0409109,1.215968301,1995,,15,Low,,False
3373683,798534000000,Very Slow,,,0.0362417486,14.09803963,5421688.5,3368881,5.768,,1.061197121,215.4436355,,1.198138093,2457865.406,301.4816145,,1995,,22,Low,Low,True
3719206,798534000000,Fast,93793.96984,58279.92531,0.4006429748,155.8501129,59935336,37242092,,2458000.5,,114.7292731,354.169234,2.298905386,2457734.923,144.3317647,0.5434641943,1995,4,22,Medium,,False
3394543,798534000000,Slow,69367.00524,,0.4392369614,,65708916,40829628,5.148,2458000.5,1.182148765,,110.1549531,1.800723602,,164.4894217,0.766824314,1995,,22,Low,Low,True
2489486,,Very Slow,33497.51589,,0.0362417486,14.09803963,,3368881,,2458000.5,1.061191066,215.4428313,61.1891387,1.198101,2457865.417,121.7908146,0.9015995702,,,22,Low,,True
2356991,799916400000,,51633.11046,32082.80689,0.2269234082,88.27320862,33947260,21093848,,,2.104018122,299.0216816,332.9520295,3.224375682,2457678.054,104.1327876,0.3229459629,1995,,8,High,Low,True
3648769,,Very Slow,39036.72631,24255.90363,0.3079150576,,46063436,28622494,6.379,,0.9352170074,204.1993483,23.65247194,1.166566083,2458103.637,247.6041478,,1995,,8,Low,Low,False
3773650,799916400000,,,,,,29137866,18105430,6.696,,0.874062218,100.3027573,257.1689857,1.209601643,2457968.782,38.25533,1.206120092,1995,,8,,Medium,False
2088959,800521200000,Very Fast,132850.034,82547.84474,,,46238112,28731030,,2458000.5,1.723590508,38.98727038,114.9699501,2.695657712,2458079.943,325.3972972,0.4355649587,1995,,15,Medium,Low,False
3277704,800521200000,,56869.50626,35336.4996,0.1834604628,,27445294,17053716,,2458000.5,,,246.8332903,1.335932256,2458117.764,267.2300401,0.7911231751,1995,,15,Low,Low,False
3459306,800521200000,Slow,,45385.47826,0.2034854101,79.15582275,30440984,18915152,,,,191.2587797,147.9375113,1.850759132,2458112.46,281.3684519,0.7023180431,,,15,Low,Low,False
3562321,800521200000,,71477.46223,44413.31535,0.1496882423,58.22872543,22393042,13914392,,,0.8963389406,38.7816058,,1.368299666,2457976.506,27.86736523,1.161437054,1995,5,15,Low,Low,False
3701883,800521200000,,,55292.26508,0.3425756907,133.2619476,,31844400,,,1.653696613,74.49124208,250.7422433,2.535524147,2457669.893,153.2259945,0.4634686028,1995,,15,Medium,,True
3728898,800521200000,,,25493.05963,0.2338387796,90.96328735,,21736672,,2458000.5,,16.98040476,125.979501,,2457807.135,165.1195034,0.8539280137,,5,,Low,Low,False
3484042,,Slow,,,0.1096739132,,16406984,10194827,4.044,,1.661650553,72.21757892,,2.477271393,2457629.305,,0.4601448113,1995,5,22,Medium,,False
3330689,801126000000,Slow,52866.63512,32849.27114,0.3870564736,150.5649719,57902824,35979148,,2458000.5,1.233608012,,323.5602404,1.467602397,2457831.348,121.6788611,,1995,5,,Low,Low,False
3605319,801126000000,Slow,70330.21491,,0.346919794,,51898464,32248210,,2458000.5,2.269587545,95.20300055,158.5215331,3.611555024,,189.5306371,0.2882595237,1995,5,22,High,,False
3694462,801126000000,,17366.03508,10790.57885,0.4017865719,156.2949677,,37348396,4.769,2458000.5,,214.1302323,119.6465719,1.844104467,2458076.2,313.2636057,0.6173884542,1995,5,22,Low,,False
3127399,802594800000,,41429.69471,25742.80114,0.0258608669,,,2403917.75,5.054,2458000.5,1.253655419,,38.56656344,1.507677719,,285.6728098,0.7021611561,1995,6,,Low,,False
3397922,802594800000,Slow,,41008.49263,0.355113415,138.1391144,53124212,33009854,5.208,2457800.5,1.187057032,91.30172769,58.29306828,1.465781824,,349.2002761,0.7620732132,1995,6,,Low,,True
3672731,802594800000,Very Slow,,17730.4782,0.1628003234,,24354582,15133236,5.537,2458000.5,1.12660195,242.5828956,318.5163366,,2458071.889,301.1588143,,,,8,Low,,False
3463371,,Slow,70802.20429,43993.73632,,142.5784149,54831432,34070672,6.447,2458000.5,0.9127170167,87.57392832,,1.185759888,2458072.706,278.3844048,,1995,6,,Low,Low,False
2484402,802594800000,Slow,,41008.43356,0.3551124243,138.1387329,53124064,33009764,5.208,2458000.5,1.187075903,,58.30311252,,2457814.668,141.6139707,0.7620550407,,6,8,Low,Low,True
3776112,802594800000,,62932.88134,,0.3236887064,,48423144,,5.612,2458000.5,1.062613441,280.3174925,202.1321893,1.493480811,,194.9409037,0.8997899055,1995,6,,Low,Medium,False
2154244,803199600000,,58051.77385,36071.1147,0.3009671033,117.0762024,,,3.367,2458000.5,2.306718529,213.2863018,98.03956329,3.571727313,2457601.275,112.3129187,0.2813274875,1995,,15,High,Low,False
3363380,803199600000,,48510.84603,,0.0656199111,25.52614403,9816599,6099751.5,,2458000.5,1.150231298,268.096334,,1.506541146,2458052.234,318.6663284,0.7989623292,1995,6,,Low,,False
3673983,803199600000,,,,0.0942749026,,,8763400,4.633,2458000.5,1.438387666,,18.9283631,1.771836034,,309.8889443,0.5713341033,1995,,15,Medium,,False
3673919,803199600000,Slow,60977.87629,37889.28096,0.30841203,119.9722748,,28668688,3.5,2458000.5,2.161978056,237.8567753,78.24190435,3.299497229,,,0.3100467274,,,15,High,Medium,False
2308242,803804400000,,47212.35124,29335.91903,0.046096606,17.93157959,,,7.557,2458000.5,0.7531844336,272.692819,156.6239373,,2458103.876,204.1265053,,1995,6,22,Low,Low,True
2366746,803804400000,,39836.08405,24752.59345,0.4891910301,190.2953033,73181936,45473148,5.556,2458000.5,1.087142229,246.7509553,256.0421444,1.588849709,2458057.799,310.1782421,0.8695098882,1995,,22,Low,,True
3545558,803804400000,,,28077.96289,0.1217900305,47.37631989,,11321091,6.997,2458000.5,0.8307280679,166.1544806,319.7961989,1.153422125,2458016.803,,1.301714515,1995,6,22,Low,,False
3608823,,,45095.52508,28020.60557,0.373472573,145.2808228,,34716444,,,0.9297454068,323.4926065,264.2658161,1.264569188,2458072.033,281.3559795,,1995,6,22,Low,,False
3775092,803804400000,Slow,46207.17944,28711.34436,0.3169188022,,47410376,29459442,4.491,2458000.5,1.498548587,,259.3072848,1.940385108,2457965.064,19.03910494,0.5372764827,1995,,22,Medium,Medium,False
2090416,805186800000,Fast,,54498.61387,0.4537824533,176.5213623,,42181712,,2458000.5,1.694978563,326.9024686,233.0557394,,2457919.652,36.11013318,0.4466401482,1995,7,8,Medium,Low,True
2216523,805186800000,Very Slow,32231.40861,20027.34387,0.1383051498,53.80070114,,12856266,,2456346.5,0.9138520281,205.242573,211.1301077,1.290445731,,330.2984546,1.128210803,1995,7,8,Low,Low,True
2309728,,Slow,56140.69577,,0.3871723975,,57920168,35989924,,2458000.5,,90.67146973,235.8207926,,2457630.109,138.6044237,0.3742115137,,7,8,Medium,,False
2458418,805186800000,Fast,113787.8472,70703.34316,,,,38382964,3.594,2458000.5,1.854462055,124.7942813,237.7160546,2.851226417,,264.9401354,,1995,7,8,Medium,Low,True
3007951,805186800000,Fast,,71986.58653,,92.62763977,,,,2458000.5,,276.4541322,,1.906274498,2457979.537,,0.897389304,1995,7,8,Low,,False
2495829,,,115853.0612,71986.58683,,,35621840,22134386,5.289,2458000.5,1.064507658,276.4541315,160.1054356,1.906274507,2457979.537,18.81210291,,1995,7,,Low,,False
3414393,805791600000,,66663.09174,41421.85276,0.32111022,124.9118729,48037404,29849060,4.574,,1.376451096,106.1303161,244.0632687,1.717393412,2457658.844,324.390888,,1995,7,,Low,Low,False
3440397,805791600000,Fast,,69631.46766,0.4797684445,186.6299286,,44597264,3.918,,1.733869194,317.3928578,228.7276848,2.786869979,2458218.506,265.8872187,0.4316975444,1995,7,15,,Low,True
2470594,805791600000,,66663.07001,41421.83925,0.3211118286,,48037648,29849210,,,1.376501612,106.124859,244.0608254,1.717388349,,208.5269511,,1995,7,15,Low,Low,False
3414402,805791600000,Fast,94852.32165,,0.3719103572,144.6731262,,34571228,,2458000.5,,296.3182957,56.5605408,,,158.076077,0.3776567277,1995,7,15,Medium,Low,False
2212359,,Slow,73050.47728,45390.72573,0.4068983202,,60871124,37823564,3.427,,2.016449151,168.5299865,167.1005289,3.442908314,2458304.369,255.405256,0.3442097451,,7,,Medium,,False
2348314,,Slow,55231.99079,34319.01117,0.4432989827,172.4433136,,41207216,5.169,2458000.5,1.189569735,292.475757,,,2458067.793,308.879961,0.7596599216,1995,,22,Low,Low,True
3560054,806396400000,Very Slow,35390.69803,21990.40345,0.3266999354,127.0862808,,30368658,6.424,,,359.7151699,330.5650247,1.131459673,,325.6108651,1.107221384,,7,,Low,Medium,False
3666783,806396400000,,55490.65998,34479.73814,0.4815542488,187.3246002,,44763264,,,0.7521531361,358.6587801,347.462346,0.9560418522,2458042.556,296.4561445,1.510931126,1995,7,22,Low,Low,True
2307070,807865200000,,52917.50892,32880.88214,0.29796017,115.9065018,,27697128,4.911,,1.310034736,119.3113638,,1.636811201,,217.1735398,0.6573245563,,,8,Low,,False
2314082,807865200000,,76521.0624,47547.21235,,,45663968,28374274,,2458000.5,2.237486606,116.8191316,139.3276944,3.523952572,2458453.145,226.7028231,0.2944851555,1995,8,8,High,Low,True
3008362,807865200000,Slow,,44399.41074,0.4835802625,,72342576,44951592,4.593,2458000.5,1.367546505,118.9617954,305.8884069,,2458225.754,221.1766294,,1995,8,8,Low,,False
3182823,807865200000,Very Slow,,,0.0391035086,15.21126461,5849801.5,3634898.25,6.997,2458000.5,0.8301293867,243.0519125,,1.168257114,2458037.143,312.250296,1.303122944,1995,,8,Low,Medium,False
3390647,807865200000,Slow,57819.83861,35926.99916,0.49007135,,73313632,45554980,,2458000.5,0.9061444568,211.1157355,44.63381586,,2458106.755,,1.142636037,1995,,8,Low,,True
3746629,807865200000,Slow,,45821.67572,0.4468810567,173.836731,66852456,41540188,,2458000.5,1.288215732,,54.57036919,1.670708811,,330.3027266,0.6740951092,,8,8,Low,Medium,False
3662252,807865200000,Slow,70325.74167,43697.68098,0.3657815359,142.2890167,,34001520,,2458000.5,,334.352604,239.4568281,1.678462713,2457812.928,128.0888493,,,8,8,Low,Medium,False
2365449,808470000000,,47525.97735,29530.7941,,173.9260406,66886804,,,,0.9683775818,,358.5166597,1.491802904,2458091.375,,,1995,8,15,Low,,False
3410474,808470000000,,,,0.4305940289,167.5010834,,40026216,,2458000.5,1.022048327,64.94457277,,,2457920.96,75.8722848,0.9538869922,1995,8,,,,False
3426239,808470000000,Slow,51292.59547,31871.22412,0.2004270484,77.96612549,,18630858,6.754,2458000.5,0.8692400532,,241.2457182,1.084718406,,179.924266,,,,15,Low,Low,False
3623682,808470000000,,55789.21366,34665.24779,0.2905427237,113.0211182,43464572,,,,0.9928418175,,105.9025699,1.185916592,2457830.559,,0.9962858967,1995,8,,,High,False
3724948,,Slow,71586.57467,44481.11358,0.2243627035,87.27709198,33564184,20855816,3.715,2458000.5,,242.808322,165.6231304,,,262.1602702,,1995,8,15,Medium,Low,False
2099799,809074800000,Very Slow,,,,96.18301392,36989136,22983984,4.57,2458000.5,1.461599741,122.4573311,,1.864482687,,,0.5577780092,1995,,,Medium,,False
2267759,809074800000,,38412.74411,23868.18536,0.4722746294,,,43900668,,,1.373675246,137.0475227,101.1889164,,2458050.991,329.0904802,0.6121783488,1995,8,22,,,False
3645649,809074800000,Slow,70733.78176,43951.22123,,183.4558868,,43838792,5.865,2458000.5,1.042607694,,,1.254310277,2458180.936,192.9503264,0.925811744,1995,8,22,Low,,False
3761271,,Slow,56981.94924,35406.36729,0.334093393,,49979660,31055922,7.176,,0.8045111683,206.1288496,327.9460141,1.096018776,2458032.74,315.9645924,1.36585928,1995,8,22,Low,Medium,False
3150188,810543600000,Slow,,28736.60831,,163.667923,,39110240,5.122,2458000.5,1.220779403,157.2242453,76.36357281,1.431669723,2458195.525,217.4920488,,,9,8,Low,Low,False
3508168,810543600000,,75552.91578,,0.4807633153,,71921168,44689744,4.943,2457600.5,1.249949556,149.9465217,,1.556623789,2457720.011,275.7103215,,1995,,8,Low,Low,True
3691712,,Very Slow,,3231.006463,0.1119722051,,16750804,10408467,,,1.167829549,7.634139745,19.27899905,1.294439981,2457870.114,101.8278746,0.7809709584,1995,,8,Low,,False
2477519,810543600000,Slow,75552.65275,,0.4807602648,187.0157471,71920712,44689460,4.943,,1.249866956,,309.2546883,1.556562725,,197.8474532,0.7053560482,1995,9,8,Low,Low,True
3766334,810543600000,Slow,,27288.93732,0.3438678419,133.7645874,51441896,31964512,4.56,,1.452642086,,127.8868226,1.904900836,2457684.268,178.0213353,,1995,9,8,Medium,,False
3625128,810543600000,Slow,78564.94481,,,170.8551636,65705832,40827712,3.725,2458000.5,1.810032265,,204.5057853,3.059710299,2457982.891,7.126982341,0.4047385756,1995,9,8,Medium,Low,False
2347634,,,55870.88248,34715.99361,0.427378053,,63934848,39727272,,,,191.2527124,29.44391573,1.744230727,2458125.674,256.2265858,0.8290319092,1995,,15,Low,,False
3666733,811148400000,,20779.90891,12911.82729,0.4039159222,157.123291,60424960,37546328,5.004,2458000.5,1.292702073,45.26691336,190.6591072,1.536922777,2457869.144,,0.6705889704,1995,9,,,Medium,False
3771633,811148400000,Very Slow,21548.49749,13389.39834,0.2007966444,78.1098938,30038752,18665214,,2458000.5,1.007138471,185.8691791,100.323037,1.273077299,2457910.969,87.30597168,0.9751474629,1995,9,15,,,False
3160737,,,118849.4444,73848.42286,0.4287923704,166.8002319,,39858740,2.976,,2.535083409,344.1615922,118.2595344,4.418446995,2457387.13,,,1995,9,22,High,,True
3684352,811753200000,Slow,,27364.06854,0.2524465764,,,23466374,,2458000.5,1.777807588,344.0968674,64.44728661,2.485420408,2457833.432,69.46572316,,1995,9,22,Medium,Medium,False
3781651,,,72217.26953,44873.00283,0.3267124603,127.0911484,48875488,30369820,6.825,2458000.5,0.8530614549,,,1.131190023,2458114.158,,,1995,,22,Low,,False
2162694,813135600000,Fast,,54661.85837,0.4367768964,169.9062195,,40600952,6.606,2458000.5,0.8702809086,29.79498678,,,,87.25022797,1.213989384,1995,10,,,Low,False
3429684,,Very Slow,,18293.50361,0.1240226634,48.24481583,18553526,11528627,,2458000.5,,9.750383078,,1.331031251,,128.5098086,,1995,,,Low,Medium,False
3581238,813135600000,Slow,50396.70916,31314.5552,0.2735199581,106.3992691,,25425270,6.484,2458000.5,0.8938575799,12.96137181,218.6192689,1.354004407,,85.11513055,1.166276656,1995,10,8,Low,,False
3601472,813135600000,,55719.41588,34621.87816,0.2088703977,,31246566,19415716,3.275,2458000.5,2.176240135,,86.23064423,3.725615932,,280.3456586,0.3070038704,,,8,High,,True
3666677,,Very Slow,37273.97235,23160.59687,0.1029365356,40.04231262,15399087,9568549,,,,10.38189098,81.31956728,1.50621293,2458069.78,307.0930837,0.7636694955,1995,10,,Low,Medium,False
3730802,,Very Slow,25326.28535,15736.76881,0.1168503547,45.45478821,,10861919,6.661,,,4.523783599,,1.106863233,,246.40938,1.182735479,1995,10,8,,,False
3092146,813740400000,Very Slow,16354.9951,10162.35793,0.4222252793,164.245636,,39248292,4.545,,,12.47108402,,2.035348305,2450100.317,,,1995,,15,,High,False
